target_domain,selected_from_sources,selected_teacher_source_mean_acc,selected_teacher_target_acc,oracle_teacher,oracle_target_acc,gap_to_oracle
location_100,openclip_h14_378_dfn5b,0.45832543566857775,0.4347202295552367,openclip_convnext_xxlarge,0.5745029719204755,0.1397827423652388
location_38,openclip_convnext_xxlarge,0.48592460381678865,0.34616565987508957,openclip_h14_378_dfn5b,0.5067062557591892,0.16054059588409958
location_43,openclip_l14_openai_qgelu,0.4505126000707768,0.4746268656716418,openclip_h14_378_dfn5b,0.5059701492537313,0.03134328358208949
location_46,openclip_h14_378_dfn5b,0.48246554485605236,0.3622999019928128,openclip_convnext_xxlarge,0.4225743221169552,0.060274420124142414
