domain,openclip_b16_datacomp,openclip_convnext_xxlarge,openclip_h14_378_dfn5b,openclip_h14_laion2b,openclip_l14_dfn2b,openclip_l14_openai_qgelu,openclip_so400m_siglip
location_100,0.33695429391268705,0.5745029719204755,0.4347202295552367,0.42754662840746055,0.5568764091002255,0.5195736831317893,0.5162943226070916
location_38,0.432067164943176,0.34616565987508957,0.5067062557591892,0.4726118562506399,0.3726835261595167,0.44875601515306646,0.289444046278284
location_43,0.41965174129353233,0.4606965174129353,0.5059701492537313,0.44029850746268656,0.367910447761194,0.4746268656716418,0.45124378109452734
location_46,0.33714472394642275,0.4225743221169552,0.3622999019928128,0.40199281280627247,0.3075792224763149,0.3832081019274747,0.34645540672982683
